clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
E,9,4604694000.0,9,Ciudad de México,Educación
E,10,422530720.0,10,Durango,Educación
E,11,883726600.0,11,Guanajuato,Educación
E,12,474155970.0,12,Guerrero,Educación
E,13,834795100.0,13,Hidalgo,Educación
E,14,3451734800.0,14,Jalisco,Educación
E,15,3248014000.0,15,México,Educación
E,16,1525862000.0,16,Michoacán de Ocampo,Educación
E,17,434612800.0,17,Morelos,Educación
E,18,369866750.0,18,Nayarit,Educación
E,19,2595327500.0,19,Nuevo León,Educación
E,20,447746600.0,20,Oaxaca,Educación
E,21,2289121800.0,21,Puebla,Educación
E,22,1158826000.0,22,Querétaro,Educación
E,23,579704900.0,23,Quintana Roo,Educación
E,24,757637570.0,24,San Luis Potosí,Educación
E,25,812782660.0,25,Sinaloa,Educación
E,26,800673300.0,26,Sonora,Educación
E,27,418648700.0,27,Tabasco,Educación
E,28,867689340.0,28,Tamaulipas,Educación
E,29,257170460.0,29,Tlaxcala,Educación
E,30,1165917000.0,30,Veracruz de Ignacio de la Llave,Educación
E,31,582566100.0,31,Yucatán,Educación
E,32,232259330.0,32,Zacatecas,Educación
F,1,1768651300.0,1,Aguascalientes,Comunicaciones
F,2,8464405000.0,2,Baja California,Comunicaciones
F,3,1488560100.0,3,Baja California Sur,Comunicaciones
F,4,860018200.0,4,Campeche,Comunicaciones
F,5,4799510500.0,5,Coahuila de Zaragoza,Comunicaciones
F,6,1023495900.0,6,Colima,Comunicaciones
F,7,2680153900.0,7,Chiapas,Comunicaciones
F,8,6250834000.0,8,Chihuahua,Comunicaciones
F,9,10516648000.0,9,Ciudad de México,Comunicaciones
F,10,1897289600.0,10,Durango,Comunicaciones
F,11,5857752000.0,11,Guanajuato,Comunicaciones
F,12,2081594100.0,12,Guerrero,Comunicaciones
F,13,2749907200.0,13,Hidalgo,Comunicaciones
F,14,9747575000.0,14,Jalisco,Comunicaciones
F,15,13587203000.0,15,México,Comunicaciones
F,16,4594614000.0,16,Michoacán de Ocampo,Comunicaciones
F,17,1728251900.0,17,Morelos,Comunicaciones
F,18,1231113200.0,18,Nayarit,Comunicaciones
F,19,9119046000.0,19,Nuevo León,Comunicaciones
F,20,2030008000.0,20,Oaxaca,Comunicaciones
F,21,4507142700.0,21,Puebla,Comunicaciones
F,22,3088955400.0,22,Querétaro,Comunicaciones
F,23,2226165800.0,23,Quintana Roo,Comunicaciones
F,24,2877158000.0,24,San Luis Potosí,Comunicaciones
F,25,4376607000.0,25,Sinaloa,Comunicaciones
F,26,4372568600.0,26,Sonora,Comunicaciones
F,27,1874068100.0,27,Tabasco,Comunicaciones
F,28,4950532000.0,28,Tamaulipas,Comunicaciones
F,29,887391600.0,29,Tlaxcala,Comunicaciones
F,30,5495508500.0,30,Veracruz de Ignacio de la Llave,Comunicaciones
F,31,2194664700.0,31,Yucatán,Comunicaciones
F,32,1725943600.0,32,Zacatecas,Comunicaciones
G,1,917576100.0,1,Aguascalientes,Vivienda
G,2,5134430000.0,2,Baja California,Vivienda
G,3,933736960.0,3,Baja California Sur,Vivienda
G,4,405867620.0,4,Campeche,Vivienda
G,5,2305600000.0,5,Coahuila de Zaragoza,Vivienda
G,6,580379000.0,6,Colima,Vivienda
G,7,1809885400.0,7,Chiapas,Vivienda
G,8,2618655500.0,8,Chihuahua,Vivienda
G,9,17150761000.0,9,Ciudad de México,Vivienda
G,10,789569340.0,10,Durango,Vivienda
G,11,3177164500.0,11,Guanajuato,Vivienda
G,12,1141389000.0,12,Guerrero,Vivienda
G,13,1617686300.0,13,Hidalgo,Vivienda
G,14,8234830000.0,14,Jalisco,Vivienda
G,15,11148574000.0,15,México,Vivienda
G,16,2841929000.0,16,Michoacán de Ocampo,Vivienda
G,17,1189249800.0,17,Morelos,Vivienda
G,18,838720900.0,18,Nayarit,Vivienda
G,19,4085056800.0,19,Nuevo León,Vivienda
G,20,1275497100.0,20,Oaxaca,Vivienda
G,21,3590744600.0,21,Puebla,Vivienda
G,22,2194945500.0,22,Querétaro,Vivienda
G,23,1995951700.0,23,Quintana Roo,Vivienda
G,24,1476333600.0,24,San Luis Potosí,Vivienda
G,25,1370781400.0,25,Sinaloa,Vivienda
G,26,1900329900.0,26,Sonora,Vivienda
G,27,859783000.0,27,Tabasco,Vivienda
G,28,1983832300.0,28,Tamaulipas,Vivienda
G,29,626105500.0,29,Tlaxcala,Vivienda
G,30,3762593800.0,30,Veracruz de Ignacio de la Llave,Vivienda
G,31,840212860.0,31,Yucatán,Vivienda
G,32,789479550.0,32,Zacatecas,Vivienda
H,1,898304100.0,1,Aguascalientes,Vestido y calzado
H,2,2396501000.0,2,Baja California,Vestido y calzado
H,3,566159940.0,3,Baja California Sur,Vestido y calzado
H,4,419591420.0,4,Campeche,Vestido y calzado
H,5,2012661600.0,5,Coahuila de Zaragoza,Vestido y calzado
H,6,471607360.0,6,Colima,Vestido y calzado
H,7,1763970600.0,7,Chiapas,Vestido y calzado
H,8,2207142700.0,8,Chihuahua,Vestido y calzado
H,9,7669876000.0,9,Ciudad de México,Vestido y calzado
H,10,1040602600.0,10,Durango,Vestido y calzado
H,11,2603829500.0,11,Guanajuato,Vestido y calzado
H,12,1546211000.0,12,Guerrero,Vestido y calzado
H,13,1601882400.0,13,Hidalgo,Vestido y calzado
H,14,4746051600.0,14,Jalisco,Vestido y calzado
H,15,7703779300.0,15,México,Vestido y calzado
H,16,3018775800.0,16,Michoacán de Ocampo,Vestido y calzado
H,17,952342100.0,17,Morelos,Vestido y calzado
H,18,665129300.0,18,Nayarit,Vestido y calzado
H,19,3718185000.0,19,Nuevo León,Vestido y calzado
H,20,1677645000.0,20,Oaxaca,Vestido y calzado
H,21,3316141300.0,21,Puebla,Vestido y calzado
H,22,1711145000.0,22,Querétaro,Vestido y calzado
H,23,993885900.0,23,Quintana Roo,Vestido y calzado
H,24,1559400200.0,24,San Luis Potosí,Vestido y calzado
H,25,1993892400.0,25,Sinaloa,Vestido y calzado
H,26,1611679700.0,26,Sonora,Vestido y calzado
H,27,951292300.0,27,Tabasco,Vestido y calzado
H,28,1731038700.0,28,Tamaulipas,Vestido y calzado
H,29,776443800.0,29,Tlaxcala,Vestido y calzado
H,30,3546470000.0,30,Veracruz de Ignacio de la Llave,Vestido y calzado
H,31,992112060.0,31,Yucatán,Vestido y calzado
H,32,782677900.0,32,Zacatecas,Vestido y calzado
I,1,195745440.0,1,Aguascalientes,Utensilios del hogar
I,2,343192060.0,2,Baja California,Utensilios del hogar
I,3,75625110.0,3,Baja California Sur,Utensilios del hogar
I,4,47013770.0,4,Campeche,Utensilios del hogar
I,5,261263180.0,5,Coahuila de Zaragoza,Utensilios del hogar
I,6,70802200.0,6,Colima,Utensilios del hogar
I,7,223210380.0,7,Chiapas,Utensilios del hogar
I,8,327261820.0,8,Chihuahua,Utensilios del hogar
I,9,1187887100.0,9,Ciudad de México,Utensilios del hogar
I,10,124967740.0,10,Durango,Utensilios del hogar
I,11,319964860.0,11,Guanajuato,Utensilios del hogar
I,12,215072210.0,12,Guerrero,Utensilios del hogar
I,13,128104260.0,13,Hidalgo,Utensilios del hogar
I,14,661386300.0,14,Jalisco,Utensilios del hogar
I,15,827103740.0,15,México,Utensilios del hogar
I,16,376807580.0,16,Michoacán de Ocampo,Utensilios del hogar
I,17,91804140.0,17,Morelos,Utensilios del hogar
I,18,87536160.0,18,Nayarit,Utensilios del hogar
I,19,402204860.0,19,Nuevo León,Utensilios del hogar
I,20,256800910.0,20,Oaxaca,Utensilios del hogar
I,21,333100160.0,21,Puebla,Utensilios del hogar
I,22,223018560.0,22,Querétaro,Utensilios del hogar
I,23,113003220.0,23,Quintana Roo,Utensilios del hogar
I,24,195575620.0,24,San Luis Potosí,Utensilios del hogar
I,25,230721600.0,25,Sinaloa,Utensilios del hogar
I,26,192605200.0,26,Sonora,Utensilios del hogar
I,27,97895930.0,27,Tabasco,Utensilios del hogar
I,28,225015840.0,28,Tamaulipas,Utensilios del hogar
I,29,61568800.0,29,Tlaxcala,Utensilios del hogar
I,30,384286720.0,30,Veracruz de Ignacio de la Llave,Utensilios del hogar
I,31,75601970.0,31,Yucatán,Utensilios del hogar
I,32,110527020.0,32,Zacatecas,Utensilios del hogar
J,1,735131260.0,1,Aguascalientes,Salud
J,2,1101739300.0,2,Baja California,Salud
J,3,277322780.0,3,Baja California Sur,Salud
J,4,322686080.0,4,Campeche,Salud
J,5,1042856100.0,5,Coahuila de Zaragoza,Salud
J,6,250394940.0,6,Colima,Salud
J,7,1433104100.0,7,Chiapas,Salud
J,8,1276639200.0,8,Chihuahua,Salud
J,9,6084355600.0,9,Ciudad de México,Salud
J,10,648135040.0,10,Durango,Salud
J,11,2084262700.0,11,Guanajuato,Salud
J,12,1312078500.0,12,Guerrero,Salud
J,13,1446006800.0,13,Hidalgo,Salud
J,14,4349745000.0,14,Jalisco,Salud
J,15,3999197700.0,15,México,Salud
J,16,3136079000.0,16,Michoacán de Ocampo,Salud
J,17,867811500.0,17,Morelos,Salud
J,18,529626240.0,18,Nayarit,Salud
J,19,2590075000.0,19,Nuevo León,Salud
J,20,1903216500.0,20,Oaxaca,Salud
J,21,2031883600.0,21,Puebla,Salud
J,22,1205171600.0,22,Querétaro,Salud
J,23,693219400.0,23,Quintana Roo,Salud
J,24,1298423200.0,24,San Luis Potosí,Salud
J,25,1275392600.0,25,Sinaloa,Salud
J,26,1405425900.0,26,Sonora,Salud
J,27,603228900.0,27,Tabasco,Salud
J,28,1654969300.0,28,Tamaulipas,Salud
J,29,356007940.0,29,Tlaxcala,Salud
J,30,2965645600.0,30,Veracruz de Ignacio de la Llave,Salud
J,31,944691260.0,31,Yucatán,Salud
J,32,649109600.0,32,Zacatecas,Salud
K,1,400858370.0,1,Aguascalientes,Enseres domésticos
K,2,966092800.0,2,Baja California,Enseres domésticos
K,3,312078880.0,3,Baja California Sur,Enseres domésticos
K,4,225471660.0,4,Campeche,Enseres domésticos
K,5,833056060.0,5,Coahuila de Zaragoza,Enseres domésticos
K,6,220417100.0,6,Colima,Enseres domésticos
K,7,799203300.0,7,Chiapas,Enseres domésticos
K,8,892084500.0,8,Chihuahua,Enseres domésticos
K,9,1852033000.0,9,Ciudad de México,Enseres domésticos
K,10,405138000.0,10,Durango,Enseres domésticos
